编号,适用技能,分类,层级,关键词,意图与同义词,适用题材,大模型指令,核心摘要,详细展开,场景类型,模式名称,说明,示例片段,反面写法
SP-039,write|plan,群像,知识补充,榜单公布|排名变化|群像反应|出榜场面,榜单公布怎么写更爽|排名出来时群像怎么反应|成绩发布场景怎么排,学院|玄幻|都市|游戏文,榜单场景不要只报名字，真正的爽感来自不同立场的人在同一刻被同一结果击中。,榜单公布式群像反应好看，是因为一个排名结果会同时点燃惊愕、嫉妒、庆幸和翻车四种情绪。,围观者、死对头、老师、盟友、路人都该有不同反应角度，越能形成对照，榜单戏越有层次。,公布场景,榜单公布式群像反应,适合考试放榜、战绩排行、积分榜更新、通缉榜变化等结果公开场面。,第一个失声的不是被挤下去的人，而是刚刚还在教别人别做梦的导师，他盯着榜首那个名字，像突然忘了怎么眨眼。,榜单一出来只剩路人齐刷刷震惊，所有角色反应都长一个样。
SP-040,write|plan,奖励,知识补充,开箱场景|抽奖揭晓|奖励公布|隐藏奖励,开箱怎么写更爽|抽到稀有奖励怎么排|奖励揭晓场面怎么做,系统文|游戏文|无限流|玄幻,奖励揭晓要有层层递亮，不要第一秒就把最好东西拍脸上；把预期、落差和补刀都排出来。,层层递亮式奖励揭晓的爽点，在于读者和角色都以为已经到头了，结果箱底还有更狠的一层。,先出常规奖励稳预期，再给稀有异常，再用隐藏词条、特殊共鸣或额外权限完成最后一击，会更有开箱快感。,奖励场景,层层递亮式奖励揭晓,适合通关结算、抽奖开箱、战利品分配、系统发放奖励等节点。,众人已经在羡慕那件紫装时，最底下一张发黑的卡片却自己翻了个面，像是在提醒所有人，这箱子还没真正开完。,奖励公布像系统日志复制粘贴，没有节拍、没有期待、没有惊喜层次。
SP-041,write|plan,演武,知识补充,演武场|公开授课|示范对打|教学破格,演武场场景怎么写|公开授课怎么带爽点|示范时反打怎么排,玄幻|武侠|学院|奇幻,先把教学秩序和预期立住，再让真正的惊艳发生在示范偏差、临场拆招或学生超纲反应里。,演武示范式场景之所以好看，是因为它把本来平稳的教学秩序突然改写成实力与认知的公开翻面。,老师讲一招，学生做错一步，主角补一手，旁观者和权威一起被打脸，这种层层变化特别适合演武场。,演武场景,演武示范式破格惊场,适合学院授课、宗门传法、公开演武、师徒试手等场面。,长老本来只想示范起手式，话还没讲完，台下那少年已经顺着他留下的半寸空门把整套后招走完了。,授课场面只有老师讲解设定，没有动作、错误、纠偏和现场反应。
SP-042,write|plan,节庆,知识补充,节庆场景|烟火下刺杀|热闹转惊变|庆典事故,热闹场景怎么突然翻成危机|节庆刺杀怎么写|烟火下出事怎么排,历史|古言|都市|奇幻,先把热闹写满，再用一个不对劲的小失拍把场面撕开，让危险从人群、灯火和音乐里钻出来。,节庆热闹下潜伏惊变的魅力，在于越喧哗的场合，危险越像从繁华里突然长出来。,鼓点停拍、灯阵错位、烟火升空、拥挤视线和笑声掩护，都特别适合拿来包裹刺杀、失踪或规则触发。,节庆场景,节庆热闹下潜伏惊变,适合花灯会、庆功宴、学院祭、婚宴和大型城市庆典等群体场面。,烟火炸开那一瞬，全城都抬头看天，只有她看见台阶下那柄本该收回鞘里的短刀突然换了个方向。,热闹和危机完全断层，前半章逛会场，后半章硬切刺杀现场。
SP-043,write|plan,回望,知识补充,故地重返|旧地回望|物是人非|场景对照,故地重游怎么写更有劲|旧地重返怎么体现变化|物是人非场景怎么排,全部,别只感慨物是人非，要让同一地点的新旧细节对照直接照出人物和局势到底变了什么。,故地重返式对照回望真正动人的地方，不是怀旧本身，而是角色终于看清自己和世界都不再原样。,同一张桌子、同一条街、同一间教室，只要新旧用途、站位和情绪发生变化，回望感就会自然出来。,回望场景,故地重返式对照回望,适合主角成长后归乡、旧案重返现场、感情破裂后再回旧地等场面。,那家面馆还在，只是当年坐在窗边替他挑葱的人不在了，而这一次，他终于也没再把碗里的香菜拨出去。,故地重返只剩空泛抒情，没有具体新旧对照和人物变化支撑。
SP-044,write|plan,推演,知识补充,白板推演|多人破局|开会破案|推演会,多人推理场怎么写|开会破局怎么不干|白板推演场景怎么排,悬疑|规则怪谈|无限流|科幻,让每个人只贡献自己那一块视角和错误，真相要靠观点碰撞逐步成形，不要一个人独角戏带全场。,白板推演式多人破局场好看，在于错误假设、局部真相和关键反证会在同一张桌上互相打脸。,地图、白板、规则纸、时间线和录像回放都能成为推演载体，越能让人看到思路如何变，场面就越不枯燥。,推演场景,白板推演式多人破局,适合副本复盘、团队破案、战前推演、规则校验等需要群体智斗的场面。,他把第三条规则圈出来时，最先摇头的反而是一直最沉默的人，因为只有她注意到那张值班表少了一个根本不该缺席的名字。,所谓多人推演其实只有主角一个人全程讲解，其他人只会点头震惊。
SP-045,write|plan,交易,知识补充,拍卖会|竞价|抬价|暗斗|压轴拍品,拍卖会场景怎么写|竞价暗战怎么排|拍卖捡漏怎么做,玄幻|都市|奇幻|古董文,竞价戏要同时写价格、身份压迫和信息差，别变成机械喊数字。,拍卖会的爽点不只是价格飞升，而是谁在借出价试探底牌、抬身份、放烟雾。,可以用压轴拍品、托价人、沉默竞价、包厢视角和临门加价制造攻防，让场面既有钱味也有火药味。,交易场景,竞价试探式拍卖暗斗,适合拍卖行、黑市交易会、宗门资源拍卖、珍品竞购等场面。,第三次铃声还没落下，最上层包厢里忽然多出一道懒散声音，像只是随手抬价，却把台下几个真正懂行的人都逼得坐直了。,全场只有主持人报数，没有身份试探和气氛变化。
SP-046,write|plan,对峙,知识补充,雨夜对峙|屋檐下|旧情冲突|夜雨场景,雨夜对峙怎么写|屋檐下对话怎么有张力|夜雨旧情戏怎么排,现言|古言|悬疑|都市,让雨声和逼仄空间一起施压，把没说出口的话压在停顿和动作里，别让角色站着念台词。,雨夜屋檐下对峙的张力来自环境逼近感和旧账压喉感，两个人离得近，说得反而更少。,雨线、积水、借伞、退后半步、被迫共站一处，都能把关系冲突和身体距离绑在一起。,对峙场景,雨幕逼仄式屋檐对峙,适合旧情对撞、审问试探、敌友未明的短兵相接场。,雨太大了，她退进屋檐那半寸干地，他却偏偏站在雨边，说出口的每个字都像顺着水线往下砸。,只是告诉读者在下雨，两个人照常平铺直叙地把事情说明白。
SP-047,write|plan,翻盘,知识补充,发布会|公开回应|舆论反杀|记者会翻盘,发布会怎么写更爽|公开翻盘怎么排|记者会反杀怎么做,都市|现言|娱乐圈|商业,公开翻盘要先让舆论和现场预期压到最低，再用证据和话术顺序反杀，别一上来就开大。,发布会翻盘最爽的不是甩证据本身，而是让所有人先以为他来道歉，结果一条条把局面掀回去。,话筒、直播弹幕、品牌方脸色、记者追问和大屏材料都能形成层层加压，再配合证据投放节拍完成公开改判。,公开场景,舆论压顶式发布会翻盘,适合公关回应、校园公开澄清、商业纠纷反击、娱乐圈洗冤等场合。,他先鞠了一躬，台下闪光灯立刻疯了一样追上来，直到大屏弹出那张签名时间表，最先安静下来的反而是坐在前排的投资人。,发布会刚开始主角就把所有证据甩完，现场没有误判、压力和逆转节拍。
SP-048,write|plan,情感,知识补充,假扮情侣|假结婚|假扮关系|逢场作戏,假扮情侣怎么写|假关系场景怎么有火花|装情侣桥段怎么排,现言|都市|古言|轻小说,假扮关系戏要同时保留外部任务和内部失控，让每个配合动作都能多出一层真情误差。,假扮关系场的好看，在于角色明知在演，却总有某个细节先一步像真的。,牵手、改口、替挡酒、顺势搭肩、对外一致口径，都能把任务需求和真实心防撞在一起。,情感场景,任务外壳式假扮关系,适合应付长辈、混入场合、契约关系、互相利用转真情等桥段。,她本来只是把手递过去让他装一下，结果他替她整理发尾时动作太自然，连旁边的长辈都先笑了。,只说他们在假扮情侣，却没有任何必须配合的现场细节和情绪误差。
SP-049,write|plan,诡异,知识补充,深夜值班|值夜班|诡静场景|空楼异动,深夜值班怎么写吓人|夜班诡异感怎么做|空楼静场怎么排,规则怪谈|悬疑|惊悚|都市,先写正常值班流程，再用一个极小失拍把秩序掀歪，让诡异从过分安静里长出来。,深夜值班场的恐惧不靠突脸，而靠日常流程里出现一处不该出现的静和错。,打卡、巡楼、监控、值班表、广播、保温杯和楼层灯都很适合拿来做偏差点，越日常越瘆人。,诡异场景,正常流程中断式诡静值班,适合医院、学校、写字楼、宿舍楼、车站值夜等半公共空间。,整栋楼的空调声忽然一起停了，保安室里只剩秒针在走，可监控画面上的走廊灯还在一盏盏往前亮。,靠突然跳脸和血字堆惊吓，没有任何值班流程和环境秩序作对比。
SP-050,write|plan,离别,知识补充,车站离别|码头送别|站台告别|错身别离,离别场景怎么写|车站送别怎么不俗|码头分别怎么排,全部,离别戏别急着煽情，把时间限制、行动阻碍和没说完的话一起摆上台面。,站台和码头离别戏最打人，不在于哭喊，而在于时间已经走了，人还没来得及把该说的话说完。,鸣笛、检票、缆绳、广播、雨雾和拥挤人流都能成为倒计时，让角色只能在碎片动作里完成告别。,离别场景,倒计时压迫式站台离别,适合远行、诀别、卧底出发、战前分别和错过重逢。,广播第三次催检时，他还在替她把围巾往上拢，像只要动作够慢，这趟车就不会真的开。,两人站在原地长篇大论告别，场景里的时间压力完全失效。
SP-051,write|plan,守夜,知识补充,病房守夜|陪床|夜谈|没说出口,病房守夜怎么写|陪床夜谈怎么有情绪|病床边场景怎么排,现言|现实向|都市|悬疑,守夜戏要靠压低的音量、未醒的人和克制动作承载情绪，不要把病房写成大型表白现场。,病房守夜场最有力的地方，是角色必须轻声、慢动作、忍着情绪，于是每个细节都更重。,削苹果、掖被角、看监护仪、替换热水、半句停住的话，这些静动作比痛哭更容易把关系写深。,守夜场景,低声克制式病房守夜,适合旧怨缓和、亲情回温、秘密松口、危机后的关系转折。,他把椅子往后挪了半寸，怕磨出声来吵醒她，结果那句早该说的对不起也跟着卡在喉咙里半个夜里。,病房里几个人高声争吵或长篇解释，完全无视病房环境和守夜节奏。
SP-052,write|plan,舆论,知识补充,记者围堵|追问|长枪短炮|围访,记者围堵怎么写|媒体追问场怎么排|被堵门怎么应对,都市|现言|娱乐圈|悬疑,围堵场要写视线压力、问题节拍和退路受限，让角色的每一句回应都像踩线过桥。,记者围堵场真正的压迫感，来自问题连发、镜头贴脸和角色没有完整思考时间。,电梯口、停车场、医院门口、校门外都适合围堵；关键词是堵、挤、截、追，让空间成为心理压力的一部分。,舆论场景,退路封死式记者围堵,适合丑闻曝光、案件追问、身份揭晓后围访、公关失控等场合。,话筒几乎碰到她下巴的时候，她才意识到最危险的不是谁在问，而是谁一直站在镜头外等她说错第一个字。,记者只是背景板式地问两个问题，围堵没有空间压迫和连续追问。
