编号,适用技能,分类,层级,关键词,意图与同义词,适用题材,大模型指令,核心摘要,详细展开,设定类型,数值控制边界,与剧情交互方式
SY-047,init|plan|write,设定,知识补充,真假规则|表面规则|隐藏规则|错误规则|规则分层,真假规则怎么分层|错误规则怎么设计|规则怎么有推理空间,规则怪谈|悬疑|推理,把规则按表层、矛盾、隐藏、错误四层拆开设计，让读者既能先活命，又能继续怀疑。,真假规则分层能让规则系统既有可执行性，也有足够的推理空间和反转余地。,表层规则保命，矛盾规则制造怀疑，隐藏规则指向真相，错误规则专门负责诱杀或误导。,真假规则分层,至少明确每层规则的功能|识别线索|违反后果|最终关系,用于安排角色试错、读者参与推理和章节级认知翻盘
SY-048,init|plan|write,设定,知识补充,天赋等级|SSS天赋|升级机制|共鸣|天赋系统,天赋系统怎么设|SSS级怎么不崩|天赋怎么升级,规则怪谈|系统文|无限流|游戏文,稀有度、成长性和限制必须绑定，最高级天赋越强，越要有明显使用边界和获取门槛。,天赋系统好看，不在于一开始就给神技，而在于读者知道它强、稀有、还能成长，但绝非白拿。,等级、使用条件、升级材料、共鸣搭配和突破方式一起设计，系统才既有爽感也有长期性。,天赋稀有度与升级,至少明确稀有度分层|升级路径|使用限制|组合效果,用于维持成长期待、奖励阶段突破和设计队伍间能力互补
SY-049,init|plan|write,设定,知识补充,副本设计|任务目标|奖励|时间限制|支线任务,副本怎么设计更完整|任务奖励怎么配|限时副本怎么立,无限流|规则怪谈|冒险|游戏文,副本至少同时给目标、时间限制、规则系统和奖励闭环，让角色知道为什么要冒险、为什么不能拖。,副本之所以好看，是因为目标、危险、时限和回报形成了同一套逼人前进的闭环。,主线任务推动通关，支线任务引诱冒险，隐藏奖励鼓励探索，倒计时负责把一切拧紧。,副本目标奖励倒计时,至少明确主任务|可选任务|失败条件|奖励梯度,用于支撑闯关、评分、隐藏路线和资源获取逻辑
SY-050,init|plan|write,设定,知识补充,规则校验|边界情况|覆盖性|逻辑自洽|规则漏洞,规则怎么自检|规则漏洞怎么查|设定怎么防自打脸,规则怪谈|悬疑|奇幻|科幻,从角色、场景、时间和行为四个维度交叉检查规则覆盖，别等写到后面才发现有巨大漏洞。,规则校验不是多余工序，而是防止设定自己打自己脸的最后保险丝。,谁受规则约束、什么场景适用、什么时间例外、边界行为怎么判，都应提前过一遍。,规则覆盖校验,至少检查角色|场景|时间|行为四类边界情况,用于提前发现逻辑漏洞，保证后续推理、冲突和生路都站得住
SY-051,init|plan|write,设定,知识补充,分支旗标|属性门槛|隐藏选项|路线变量|剧情分支,分支怎么记录|隐藏选项怎么触发|属性门槛怎么设计,互动小说|游戏文|无限流|系统文,给重要选择设置可追踪旗标和属性门槛，让分支差异能在后文持续兑现。,分支真正有价值，不是当场换个回答，而是它会在未来某一章突然回头改写命运。,忠诚值、智力门槛、隐藏道具、路线标记都可以成为分支触发条件，但必须能回收。,分支旗标与属性门槛,至少明确触发变量|记录方式|回收节点|实质后果,用于设计多结局、隐藏线、真结局条件和玩家式探索快感
SY-052,init|plan|write,设定,知识补充,暴露值|追猎风险|能力暴露|高位关注|追踪机制,开挂后怎么被盯上|能力暴露风险怎么设|越用越危险怎么写,规则怪谈|系统文|玄幻|科幻,把能力暴露设计成可累积的风险值，每次高调使用都该换来后续追猎或审视。,暴露值机制能让强力能力越好用越危险，持续逼角色在爽感和隐患之间权衡。,暴露可能引来高位存在、敌对组织、国家机构或同级竞争者的注意，因此每次使用都应留下痕迹。,暴露值与追猎风险,至少明确暴露来源|累计方式|触发阈值|被谁发现|后果层级,用于限制开挂频率、抬高使用代价并制造中后期被追猎压力
SY-053,init|plan|write,设定,知识补充,兑换货币|主神空间|商店经济|资源结算|交易体系,主神空间怎么兑换|货币体系怎么设|系统商店怎么平衡,无限流|规则怪谈|系统文|游戏文,货币获取、物价、稀缺品和折价回收要一起设计，别让兑换商店沦为无限提款机。,兑换经济一旦成立，副本奖励、资源抉择和队伍交易就会自然长出张力。,基础货币负责生存，稀有凭证负责关键跳级，限购和回收损耗负责防止体系被刷穿。,兑换货币与主神经济,至少明确货币来源|常见物价|稀缺凭证|限购规则|回收折损,用于推动副本收益选择、队伍分账、资源囤积和中期经济压力
SY-054,init|plan|write,设定,知识补充,天赋共鸣|克制链|天赋组合|相性系统|能力联动,天赋怎么联动|能力怎么互相克制|相性系统怎么设计,规则怪谈|系统文|游戏文|玄幻,单个天赋强度之外，还要设计组合收益和克制关系，让队伍搭配和对局判断真正有意义。,天赋系统一旦有共鸣和克制链，剧情就不再只是比面板，而是比配置和读局。,感知类与记录类可共鸣，净化类克制污染类，强控制可能被规则豁免反制，这些关系越清楚越耐写。,天赋共鸣与克制链,至少明确核心共鸣组合|基础克制关系|叠加上限|反制手段,用于设计团队互补、敌我博弈、天赋升级期待和副本内破局组合技
SY-055,init|plan|write,设定,知识补充,高维层级|规则制定者|执行者|代理人|世界秩序,规则是谁定的|高维存在怎么分层|幕后秩序怎么搭,规则怪谈|奇幻|科幻|悬疑,把制定规则的人、执行规则的力量和落地代理分清，不要所有异常都糊成一个万能幕后。,高维层级清楚，世界观的压迫感和解释力才会稳，不同层级也才有不同叙事用途。,制定者负责目的，执行者负责维持秩序，代理人负责在副本中具体显形，这样真相展开才有台阶。,制定者-执行者-代理者层级,至少明确三层职能|互动边界|降临方式|信息可见度,用于支撑幕后真相、逐层揭密、敌我权限差和不同级别的压迫来源
SY-056,init|plan|write,设定,知识补充,现实联动|副本失败后果|灾难机制|通关祝福|世界反馈,副本和现实怎么联动|失败后果怎么设计|通关奖励怎么影响现实,规则怪谈|无限流|科幻|奇幻,让副本结果真实改写现实资源、舆论、秩序或灾难等级，别让现实线只是背景板。,现实与副本联动得越紧，角色每一次选择的国家级、社会级重量就越能站住。,失败造成区域污染、基础设施崩溃或人口损失，成功带来净化、资源、技术或国家士气加成，都能放大舞台。,灾难与祝福现实联动,至少明确失败后果|成功收益|作用范围|持续时间|可逆性,用于建立宏观 stakes、现实线压力和副本之外的政治社会反应
SY-057,init|plan|write,设定,知识补充,评级结算|评分系统|隐藏评分|结算权重|通关评价,副本怎么评分|评级怎么影响奖励|隐藏评分怎么设计,无限流|规则怪谈|游戏文|系统文,评分维度和奖励映射必须公开一部分、隐藏一部分，让角色既能优化路线又保留探索空间。,评级结算不是彩带，它决定角色为什么要冒险做支线、为什么要赌更高风险的完成方式。,生存、效率、救援人数、规则解析度、污染控制和隐藏目标达成都可以成为评分项，但权重要提前埋痕迹。,评级结算与隐藏评分,至少明确基础评分项|隐藏加分项|评级档位|奖励差距|结算显示方式,用于拉开收益梯度、引导探索行为并支撑真结局或隐藏路线的收益逻辑
SY-058,init|plan|write,设定,知识补充,污染累计|理智值|后遗症|恢复窗口|净化机制,污染值怎么设|理智掉了怎么恢复|后遗症和休整期怎么写,规则怪谈|克苏鲁|悬疑|奇幻,污染和恢复都要可追踪，既不能一碰就废，也不能睡一觉就清零。,污染累计体系的价值，在于它让每次生还都带着余伤，把副本压力延伸到副本外。,污染可分轻度症状、中度失控、重度异化，恢复则依赖时间、药物、仪式、陪护或特殊地点。,污染累计与恢复窗口,至少明确污染来源|分级症状|恢复手段|恢复上限|不可逆后果,用于维持长期压迫、制造休整期剧情和抬高关键能力的使用成本
SY-059,init|plan|write,设定,知识补充,分段解锁|成长阶段|功能开启|章节权限|能力树,金手指怎么分阶段开|能力什么时候解锁|成长机制怎么不一步到位,系统文|玄幻|规则怪谈|游戏文,把金手指能力拆成阶段解锁，每阶段都绑定代价、条件和对应剧情责任。,分段解锁能让金手指既有长期期待，也不至于在前期就把剧情空间压扁。,前期给保命，中期给破局，后期给改写规则的权限，能力越往后越强，代价和暴露也应同步变大。,分段解锁成长机制,至少明确阶段数量|每阶段功能|解锁条件|新增代价|与主线对应关系,用于规划长线升级、阶段高潮和能力成长与剧情责任同步上升的节奏
