编号,适用技能,分类,层级,关键词,意图与同义词,适用题材,大模型指令,核心摘要,详细展开,节奏类型,情绪调动手法,常见崩盘误区
PA-048,plan|write,节奏,知识补充,线索递亮|剥洋葱真相|一层层揭露|真相推进,真相怎么一层层亮出来|线索推进节奏怎么排|悬疑不要一次讲完怎么办,悬疑|规则怪谈|都市|奇幻,每次揭示只改写一层认知，但必须让读者明确感到自己比上一章更接近真相。,线索剥洋葱递亮期的重点，是让真相像一层层转向，而不是同一层信息换着说法重复讲。,先改写现象，再改写身份，再改写动机，最后改写根本规则，这种层级揭露会比一次性全抖出来更耐追。,线索剥洋葱递亮期,局部真相先亮|旧理解被推翻|越接近核心越不安,每次揭示都只是补旁枝|连续几章原地分析|真相最后仍靠天降说明
PA-049,plan|write,节奏,知识补充,关系冷战|关系发酵|不说破的裂口|沉默冲突,关系破裂后怎么继续写|冷战期节奏怎么排|不说破的矛盾怎么发酵,全部,冷战期不是停剧情，而是让每场合作和每次沉默都在替关系裂口加深纹路。,关系冷战发酵期最有戏的地方，不在争吵本身，而在角色仍必须并肩做事却再也回不到原来的顺手。,递东西停半拍、习惯称呼消失、分工开始改写、第三人都能感觉到不对，这些细节越细，冷战越有后劲。,关系冷战发酵期,压低声量|细节割裂|合作继续但默契变形,冷战等于不互动|反复重复同一场争吵|冷几章后无缘无故自动和好
PA-050,plan|write,节奏,知识补充,隐藏条件|真结局条件|隐藏路线|前置回填,真结局条件怎么提前铺|隐藏路线怎么埋|后面的大结局条件前面怎么回填,无限流|规则怪谈|游戏文|悬疑,把关键隐藏条件拆成多个早期可回看的小异常，不要完结前突然宣布读者从未见过的新规则。,隐藏条件回填期的核心，是让真结局看似意外、回头却早就处处有痕。,不起眼的道具、错过的选择、重复出现的句子、评级波动和支线善恶都可以是隐藏条件的前置痕迹。,隐藏条件回填期,早埋晚亮|回看自洽|临终局时突然串成线,隐藏条件从天而降|条件埋得太显眼变成剧透|只靠一条线支撑真结局
PA-051,plan|write,节奏,知识补充,终局分歧|结局铺路|多结局预埋|路线分叉,结局分歧前面怎么埋|多结局路线怎么铺|终局前如何让不同结局都成立,全部,若准备多个终局方向，必须让不同路线的价值观和选择逻辑在中后段就开始分家。 ,终局分歧铺路期的作用，是让不同结局不是作者临时选号，而是角色一路走来的自然分流。,救多数还是救所爱、守规则还是破规则、保世界还是保个人，这类核心分歧越早有影子，结局越站得住。,终局分歧铺路期,价值观分叉|选择逐渐有代价|终局前读者已能感到路在分开,最后几章才突然说有别的路线|不同结局只是换尾巴|分歧没有价值观根基
PA-052,plan|write,节奏,知识补充,总账清算|终章回收|完结收束|大结局结算,完结前哪些账要清|大结局怎么收得稳|结尾怎么把主线人物伏笔都落地,全部,完结前先列清主线账、人物账、情感账和设定账，主次分明地结，不要所有问题一起砸在尾声。 ,结局前总账清算期最怕手忙脚乱，最稳的方式是按重要度分层结清，让高潮、余波和余味各有位置。,主线胜负先结，关键人物归宿随后落地，伏笔与世界规则再做收束，最后再给情感和后日谈留口子。,结局前总账清算期,主账先结|人物账跟进|余波和余味分层落地,所有账都在最后一章仓促处理|只结主线不结人物|为了收尾硬删复杂问题
PA-053,plan|write,节奏,知识补充,压扬循环|压迫释放|短循环|爽点密度|连载节拍,压一压再扬怎么排|爽点多久给一次|连载节奏怎么做短循环,全部,连续几章里至少给一个清晰释放点，让压迫和回报形成可感知的小闭环。,长篇连载最稳的节奏，不是一直压或一直爽，而是不断完成小型压扬循环。,压迫可以是误解、倒计时、资源短缺，释放可以是真相一角、阶段胜利、关系回暖，关键是周期要稳。,压迫-释放短循环,先压一到两拍|给阶段释放|末尾再挂新诱饵,压太久不释放|章章都爽失去梯度|循环长短毫无规律
PA-054,plan|write,节奏,知识补充,质疑证明补刀|三拍节奏|打脸三段|补刀反转,打脸节奏怎么排|证明后怎么再补一刀|爽点三拍怎么做,都市|玄幻|规则怪谈|现言,把质疑、证明、补刀拆成三拍，不要一上来就直接宣布主角赢了。,很多打脸场的完成度，取决于最后那一拍补刀有没有把情绪真正抬满。,先让对方轻视，再让主角稳稳证明，最后用额外信息、隐藏身份或反手收益完成第三拍，会比单拍打脸更爽。,质疑-证明-补刀三拍,轻视压低预期|证明抬回局势|补刀再拔一层,质疑太弱没有压迫|证明过长拖掉爽感|缺最后一拍导致场面发虚
PA-055,plan|write,节奏,知识补充,爽后静默|爆点后反应|全场失声|回响节奏,爽点后要不要静一下|爆点后反应怎么排|全场安静怎么更有力量,全部,大爆点落地后给半拍静默，让角色、读者和场面一起消化重量，再决定是否补刀。,爆点后的静默不是降温，而是让爽感和震撼真正沉到心里。,一秒寂静、目光移动、物件掉落、称呼变化和迟到的喝彩，都属于爆点后的回响资产。,爆点后静默回响期,短暂停顿|群体反应分层|重量沉下后再续推,爆点一过立刻切下一件事|所有人反应模板化|静默拖太久反而泄气
PA-056,plan|write,节奏,知识补充,多线轮转|群像节拍|线线汇聚|视角轮换,多线叙事节奏怎么排|群像怎么轮转不散|视角轮换怎么更顺,全部,每条线都要带着新问题切入、带着旧问题退出，并朝同一汇聚点逼近。,多线轮转最怕松散，最稳的方法是每次切线都带着明确未完成事项。,主角线给主冲突，配角线给补证与压力，现实线给外部后果，只要汇聚点足够强，多线就会越切越紧。,多线轮转汇聚期,每线都有未完成动作|线间互补信息|汇聚节点持续升压,某条线长期无推进价值|轮换只为吊胃口|汇聚点来得太晚
PA-057,plan|write,节奏,知识补充,试错节奏|破局递进|错误答案|生路推理|反复验证,试错怎么写不重复|破局过程怎么递进|错误答案要怎么安排,规则怪谈|悬疑|无限流|科幻,每次试错都必须新增一层有效信息，让失败也在推进破局，而不是原地打转。,试错型剧情的可读性，来自失败有信息增量，而不是单纯重复受苦。,错误路线最好分别验证不同规则、身份或时间点，越往后越逼近真正生路，形成逐步缩圈感。,试错递进破局期,失败换信息|答案逐渐收窄|每次重来都更接近核心,重复展示相同失败|试错没有验证价值|最后答案和前面失败毫无关系
PA-058,plan|write,节奏,知识补充,假安全|喘息期反杀|安全区崩塌|放松后出事,安全区后怎么再起危机|喘口气之后怎么追收|假平静怎么翻车,悬疑|规则怪谈|惊悚|全部,喘息期要先真的让人放松一口，再用一个早埋的小异常把安全感掀翻。,假安全崩塌的厉害处，在于危险不是更大，而是来得更准，专门打在读者刚刚放松的那一下。,补给点、病房、宿舍、安全区和庆功时刻都适合做这种节拍翻面，只要前面埋过异常就不会显得硬拐。,假安全崩塌追收期,短暂松弛|熟悉环境里出错|安全感被精准击碎,安全期短到还没形成落差|危机完全无前兆|每次都用同一种惊吓方式
PA-059,plan|write,节奏,知识补充,真假规则翻面|规则反转|认知翻盘|规则层级,真假规则什么时候翻|规则怎么一步步反转|认知翻盘节奏怎么排,规则怪谈|悬疑|无限流,先让角色学会依赖表层规则，再逐步揭出规则层级，认知翻盘才有冲击力。,真假规则翻面最爽的地方，是角色以为终于掌握秩序，结果发现自己只是站上了下一层入口。,先保命，再怀疑，再证伪，再重建规则理解，这四步跑顺了，规则类故事就会越写越上头。,真假规则翻面期,先信后疑|局部证伪|新秩序建立前的失衡感,太早翻面导致读者抓不住规则|翻面只靠作者说|新规则不比旧规则更有解释力
PA-060,plan|write,节奏,知识补充,后日谈节奏|余温收束|完结降落|结局后几章,结局后还要写几章|后日谈节奏怎么控|完结后怎么慢慢落地,全部,后日谈只保留最值得落地的两三件事，让主线热度自然降下而不是突然熄火。,完结后的降落期很重要，它决定读者是被甩下车，还是被好好送到终点。,先结主线余波，再落人物去向，最后给母题或关系一个轻回响，通常就足够了。,后日谈降落余温期,主线热度缓降|关系轻落地|用小细节回响大主题,大结局后立刻硬切结束|后日谈写成流水账|为了留白把该交代的全省掉
