编号,适用技能,分类,层级,关键词,意图与同义词,适用题材,大模型指令,核心摘要,详细展开,人设类型,核心动机,行为逻辑,互动模式,忌讳写法
CH-039,init|plan|write,长辈,知识补充,守门人长辈|老规矩角色|传统派长辈|旧制度代言人,老规矩守门人怎么写|传统派长辈怎么不脸谱化|守旧角色怎么更有力度,历史|古言|现实向|玄幻,让他守的不是抽象传统，而是一整套他亲身被证明过有效的生存法则。 ,老规矩守门人可写，不在于他顽固，而在于他的规则曾经真的救过人、稳过局、维持过秩序。,他会阻拦、怀疑、设门槛，但这不一定全错；真正的戏在于新世界已变，旧规矩仍部分有效却不再够用。,老规矩守门人,守住一套曾经保证家族、组织或个人活下来的旧秩序,优先相信过往经验和旧礼法，对新办法天然谨慎甚至排斥,常与改革者冲突|会卡门槛也会在新旧秩序找到有限让步,守旧只是为了当反派路障|旧规矩完全没合理性|转变来得过快像突然换脑
CH-040,init|plan|write,队友,知识补充,冒失队友|真诚莽撞|破局型角色|先冲后想,莽撞但不讨厌的角色怎么写|真诚型破局者怎么立|容易冲动的队友怎么更有用,全部,让他的冲动经常制造麻烦，但也让他在别人都不敢动时，成为第一个撕开局面的那个人。 ,冒失真诚型破局者不能只是拖后腿，他必须把‘先动一步’这件事变成团队某些时刻唯一的解法。,这类角色适合承担试错、打破僵局、用真心换信任的功能，只要代价和成长跟上，就会很讨喜。,冒失真诚型破局者,不想再眼看重要的人和事被犹豫拖掉，于是宁可先冲出去承担后果,思考常慢于行动，但情感判断敏锐，常在关键时刻凭直觉撞开僵局,会被军师型角色头疼|却也常靠真诚撬开封闭关系和死局,莽到没有脑子|永远闯祸却不成长|只会制造笑料不承担后果
CH-041,init|plan|write,主角,知识补充,藏锋主角|试探型主角|装弱观察|不先亮底牌,藏锋型主角怎么写|主角为什么不先亮牌|喜欢先观察后出手的人设怎么立,都市|玄幻|悬疑|权谋,藏锋不是故弄玄虚，必须建立在信息差、试探需求或旧伤经验上，不要为了拖爽点硬捂。 ,藏锋试探型主角最稳的写法，是他先观察、先试错、先让别人暴露，再决定亮到底牌哪一层。,这种主角适合经历过背刺、资源不足或局势复杂的故事，他的谨慎会成为能力的一部分。,藏锋试探型主角,先摸清局势和敌友边界，再用最小代价取得主动权,习惯留底牌、看反应、做局部试探，只有在确定收益大于暴露成本时才彻底出手,常被急性子误解成怂或慢|一旦亮牌往往直接改写全场判断,纯为拖剧情而不亮牌|什么都知道却装傻|藏锋没有任何风险收益计算
CH-042,init|plan|write,守护者,知识补充,愧疚守护|补偿型关系|背债式保护|赎罪型照顾者,因为愧疚一直保护别人的角色怎么写|补偿型守护者怎么立|赎罪式照顾关系怎么做,全部,让守护背后有债，但别让他只会自我感动；真正的戏在于被保护的人未必需要这种补偿。 ,愧疚补偿型守护者的力量，在于他的照顾里永远混着亏欠、控制和不敢说破的过去。,他可能因旧案、旧伤、旧承诺而承担保护责任，但这种补偿常常同时带来过度介入、边界模糊和关系紧张。,愧疚补偿型守护者,用持续保护偿还一笔自己始终没有放下的旧债,会过度准备、替人做决定、在危险前抢先挡上，却不一定真正尊重对方意志,关心很重但边界感差|越在乎越容易替人安排人生|冲突常来自控制与感激错位,愧疚只有嘴上说说|守护全是圣父式奉献没有代价|被保护者永远只会感动不会反弹
CH-043,init|plan|write,主角,知识补充,不求救|硬扛型主角|不愿开口|独自承担,主角为什么不求救|硬扛型角色怎么写|总想自己扛的人设,都市|悬疑|玄幻|现实向,不求救必须有成本和成因，最好来自旧经验、羞耻感或对救援失望，别把它写成无意义拧巴。,绝不求救型主角的力量和问题，都在于他把开口视作更危险的一步。,这类角色往往习惯提前解决、先自己扛到底，但也容易因此错过支持、误伤关系，适合写成长弧。,绝不求救型主角,在失控前先靠自己处理掉一切，避免把软肋和无能暴露给别人,先隐瞒伤势和困境，再用加倍投入与过度准备掩盖问题，撑不住时才被动暴露,常让关心他的人又心疼又生气|信任建立往往从第一次开口求助开始,硬扛没有任何代价|明明一句话能解决却硬拖几十章|所有人都永远猜不到他的异常
CH-044,init|plan|write,前辈,知识补充,失踪前辈|传奇前辈|神话人物|留下传说,失踪前辈怎么写|传奇前辈怎么不空|前辈留白怎么做,玄幻|奇幻|学院|悬疑,让传说和真人之间始终留一条缝，既让人仰望，也让后续真相有翻面的空间。,被神化的失踪前辈最有戏的地方，是所有人都在借他讲话，却未必真的懂他。,他的手札、旧战绩、口耳相传和遗留规则可以不断加厚传奇感，同时埋下偏差和误读，为后续出场或真相服务。,被神化的失踪前辈,在离场前留下未完成的布局、警告或价值传承,即使不在场也通过旧物、旧规矩、旧部和传闻持续影响后人选择,常成为主角的目标影子或反证对象|别人越神化他，真相翻面时冲击越大,只有传说没有具体痕迹|一登场就跌成普通工具人|传奇与后续真相完全对不上
CH-045,init|plan|write,复仇,知识补充,自毁复仇|不计代价|燃尽型角色|报仇到死,复仇者怎么写得狠|不计代价的人设怎么立|自毁式角色怎么不悬浮,悬疑|都市|玄幻|现实向,自毁式复仇者不是一直发狠，而是每一次推进都真的在烧掉自己的未来。,这类角色最扎人的地方，是他明知道这条路会把自己烧空，还是觉得不走更活不下去。,他会牺牲关系、身体、名声和退路来换复仇推进，因此既可怕又让人替他惋惜。,自毁式复仇者,用复仇给早已断裂的人生找一个还能站得住的终点,愿意拿长期损失换短期推进|拒绝停手|常把自己也当成可消耗筹码,既吸引同类伤者也吓退想拯救他的人|冲突常来自别人试图把他拉回人间,复仇只靠嘴狠|代价全由别人承担|突然被一句劝说就完全放下
CH-046,init|plan|write,守护者,知识补充,过度负责|长兄如父|大姐头|替大家收拾残局,责任感太重的角色怎么写|大哥大姐型角色怎么立|总收拾残局的人设,全部,责任感要落在具体劳动和牺牲上，而不是光靠几句我来吧。,过度负责型角色之所以有张力，是因为他总在兜底，久了就不知道怎么把重量还回去。,这类角色适合承担资源分配、情绪安抚、残局修补功能，但也容易发展出控制欲和自我消耗。,过度负责型大哥大姐,只要自己先扛住，身边的人就不会再经历一次曾经的失控,抢着安排计划、检查物资、替别人收尾，很少把自己的需求排进优先级,团队离不开他|也会因他不肯放手而窒息|成长常来自学会分担,只会说教不干活|责任感没有来源|团队永远理所当然吸血却没人反馈
CH-047,init|plan|write,天才,知识补充,无害外表|危险天才|笑面疯子|温和怪物,看着无害但很危险的角色怎么写|危险天才怎么立|笑着算计的人设,悬疑|都市|科幻|奇幻,危险感要靠判断方式和边界异于常人来体现，不是单靠疯批台词。,无害外壳危险天才最抓人的地方，是他看起来最像不会出手的人，偏偏最知道怎么一击致命。,他可以礼貌、安静、甚至讨喜，但在规则、算计或实验上过于冷静，形成强烈反差。,无害外壳危险天才,证明自己的推演、作品或方案比人情和常识更值得信任,平时克制低调|一旦确认目标就极其精准|常用最小动作撬最大结果,让人想亲近又不敢深信|常被主角用来破局也可能随时失控,危险只靠夸张表情|天才没有具体能力支点|反差过头变成纯噱头
CH-048,init|plan|write,盟友,知识补充,利益盟友|先交易后真心|合作转忠诚|雇佣伙伴,盟友从利益变真心怎么写|合作关系怎么转忠|利益伙伴怎么立,都市|玄幻|悬疑|历史,转忠要靠共同承担风险和兑现承诺慢慢累，不要一两章突然兄弟情深。,利益型盟友好看，就好看在双方先算账，后来才发现彼此已经成了不能轻易放弃的人。,前期他会斤斤计较、谈条件、留后手，后期则在关键时刻主动多走一步，形成最有说服力的转向。,利益型盟友转忠,先确保合作值回成本，后来逐步把人本身纳入自己要保的范围,先交易后试探|先保底再加码|忠诚往往体现在危机时超出合同内容的选择,和主角嘴上清算得最明白|真正站队时也最干脆|很适合做关系升温线,刚认识就无条件忠诚|转忠没有触发事件|前后性格像换人
CH-049,init|plan|write,配角,知识补充,小人物逆光|边角角色|不起眼配角|被低估的人,小人物怎么写出分量|边角角色怎么变关键|不起眼配角怎么立,全部,让他在前期承担真实但不显眼的功能，后期关键时刻再让读者明白这个人一直不是背景板。,被低估的小人物最能制造回亮感，因为他的存在感前期低，价值却能在关键一刻暴涨。,门房、护士、抄表员、后厨、车站检票员、档案管理员都适合做这种角色，只要前文有稳定痕迹。,被低估的边角小人物,在自己有限的位置上守住一点本分、恩情或信念,平时低调做事|观察力常比主角团更接地气|关键时刻能提供别人拿不到的信息或帮助,前期常被忽略或礼貌对待|后期一旦站出来会直接改变局势或情感判断,前文完全没铺垫就突然变关键|小人物只靠卖惨博关注|重要性全靠作者旁白硬抬
CH-050,init|plan|write,长辈,知识补充,沉默长辈|旧案见证人|知道真相的老人|不肯开口,知情长辈怎么写|沉默见证人怎么立|老一辈藏真相的人设,悬疑|现实向|古言|历史,沉默必须有明确原因，是怕、愧、护、赌其一或其多，不要只是为了拖真相。,旧案见证型沉默长辈的张力，在于他越少说话，场里越能感觉到那段过去还没过去。,他可以通过旧物保存、下意识回避、特定日子异常、对某些人过度照顾等方式持续泄露信息。,旧案见证型沉默长辈,在保住某个人、某个家或某段体面的同时，尽量不让旧案再次吞掉下一代,平日少言寡语|逢关键物与关键地会失态|常用模糊劝阻替代正面说明,既像路障也像保护罩|主角越逼近真相，他越容易出现矛盾和松口迹象,沉默没有理由|一开口就把所有真相一次倒完|长辈除了知道真相没有任何生活质感
CH-051,init|plan|write,执行者,知识补充,规则洁癖|执行狂|流程至上|一丝不苟,特别讲规矩的角色怎么写|流程控人设怎么立|规则洁癖型角色,规则怪谈|悬疑|现实向|都市,让他对规则的依赖来自真实生存经验，而不是单纯抬杠和烦人。,规则洁癖型执行者的魅力，在于他像一把冷硬量尺，能保命，也会让人窒息。,这类角色擅长记录流程、压缩变量、避免冒险，但在需要破规或冒险时会成为重要冲突点。,规则洁癖型执行者,相信只有严格遵守流程，才能把损失压到最低并避免再一次失控,习惯先确认边界再行动|对违规极敏感|面对模糊情境会优先选择保守方案,是团队里最稳定的安全阀|也常与冒险派、直觉派发生正面摩擦,规矩只是口头设定|关键时刻完全不按自己逻辑来|写成纯粹烦人精
CH-052,init|plan|write,破局者,知识补充,自我诱饵|拿自己试|钓出真相|高风险破局,把自己当诱饵的角色怎么写|高风险破局者怎么立|主动试险的人设,悬疑|规则怪谈|都市|玄幻,敢拿自己做诱饵，必须建立在判断力、忍痛能力和真正承担后果的意志上。,自我诱饵型破局者最打人的地方，是他愿意把自己放进最危险的位置，只为了逼真相先露头。,这种角色适合承担试毒、套话、试探规则和引出幕后存在的功能，危险感极强。,自我诱饵型破局者,如果总有人得先去试最危险的那一步，那不如由最清楚代价的人来承担,会提前算好撤退线和观察点|关键时刻仍敢把自己放进局里试真相,容易让队友又依赖又愤怒|与守护型角色常形成强烈拉扯,只会作死没有算计|次次拿自己冒险却毫无代价|队友永远机械同意
CH-053,init|plan|write,观察者,知识补充,记录员|记笔记|观察成瘾|细节狂|档案控,爱记一切的角色怎么写|观察型角色怎么立|记录员人设,规则怪谈|悬疑|现实向|科幻,让记录习惯成为真正的生存能力和性格痕迹，而不是作者的便利备忘录。,记录成瘾型观察者的价值，在于别人忽略的重复和偏差，在他这里都会留下痕迹。,笔记、录音、时间表、涂改痕迹和整理癖都可以成为他的人设外化，也适合承担真相回亮功能。,记录成瘾型观察者,只要还记得足够清楚，就不会再被同样的谎言和混乱吞掉一次,习惯抓时间差和重复点|情绪紧张时反而更依赖记录动作来稳定自己,常给团队补上关键缺口|也可能因过度沉迷细节而错过情感层信号,想起什么就记什么没有筛选力|记录只在作者需要时突然生效|没有任何生活层细节
CH-054,init|plan|write,队友,知识补充,高压嬉笑|苦中作乐|气氛托底|嘴贫队友,高压下还会开玩笑的角色怎么写|嘴贫队友怎么不讨厌|气氛担当人设,全部,他的玩笑要像自救和托底，不是毫无分寸地破坏场面。,高压嬉笑型托底者不是纯搞笑角色，他是在最紧的时候替所有人分担一点崩掉的风险。,这类角色适合缓冲压迫、承接群像节奏，也能在真正失去玩笑能力时反衬局势有多糟。,高压嬉笑型托底者,只要还能把人逗得喘一口气，队伍就还没到彻底散掉的时候,越危险越轻描淡写|关键时刻会把最重的话藏进玩笑里|真正害怕时反而更安静,能缓和团队情绪|也会被严肃派误解为不正经|崩不住时往往最戳人,一直插科打诨破坏情绪|嘴贫没有分寸和判断|只负责搞笑不承担任何重量
CH-055,init|plan|write,分析者,知识补充,证据主义|冷面分析|理性过度|只信证据,只信证据的角色怎么写|理性派人设怎么立|冷面分析师怎么塑造,悬疑|都市|科幻|规则怪谈,别把理性写成没情感，而要写成他把情感也纳入风险评估里处理。,证据主义冷面分析者的张力，在于他常常是最可靠的大脑，也是最迟钝的情感参与者。,这类角色适合承担逻辑闭环、信息筛选和质疑众人共识的功能，但在人际上容易显得冷硬。,证据主义冷面分析者,只有经过验证的事实才配决定下一步，否则所有人都可能被情绪拖进坑里,先找证据链再表态|对巧合和热血表决天然警惕|很少接受未经验证的信任,与直觉派互补也冲突|往往在别人都慌时最稳|情感松动时反而最有份量,理性等于没脑子不会做人|关键证据摆面前还强拗|最后突然情绪化到像换人
CH-056,init|plan|write,幸存者,知识补充,老幸存者|被规则驯化|活下来的人|创伤规训,被规则折磨过的幸存者怎么写|老幸存者人设|创伤规训型角色,规则怪谈|悬疑|现实向|奇幻,让他的谨慎、退缩和怪癖都能追溯到具体创伤经历，不要只靠一句他经历过很多。,被规则驯化的老幸存者身上最可怕的，不是他知道得多，而是他早就把异常当日常。,这类角色往往会有固定动作、回避清单和特殊禁忌，是极好的氛围与真相载体。,被规则驯化的老幸存者,靠绝不再犯旧错的方式苟活下去，并尽量避免别人步上同样的死路,会下意识规避某些时间、地点和措辞|对新人既冷酷又像在救命,像半个向导也像半个警告牌|主角越接近真相，他越容易出现失控和松口,创伤只体现在神神叨叨|知道很多却从不透露任何有效信息|行为怪异但没有内在逻辑
CH-057,init|plan|write,冒险者,知识补充,奖励成瘾|赌徒心理|越险越上头|高收益执念,为了奖励拼命的角色怎么写|赌徒型冒险者怎么立|高收益执念人设,无限流|系统文|规则怪谈|游戏文,奖励成瘾不能只是贪财，要写出他为什么必须比别人更渴求高收益。,奖励成瘾型冒险者最危险的地方，是他总能看见别人不敢看的收益面，也因此更容易把命押进去。,他可能背着债、病、期限或执念，所以每一次高风险选择都既像自私，也像自救。,奖励成瘾型冒险者,普通收益根本不够救自己或救人，只能不断押向更高风险的那一边,会主动研究隐藏奖励和极限条件|明知危险仍倾向冲更高评级,能带来突破也能制造巨大压力|常和保守派在路线选择上对撞,贪得无厌却没有原因|每次赌博都赢没有反噬|别人永远容忍他的冒险行为
CH-058,init|plan|write,普通人,知识补充,低配天赋|普通人逆撑|高执行力|笨办法强者,普通但很能扛的角色怎么写|低天赋高执行力人设|没外挂的人怎么立,全部,让他的厉害来自准备、重复、纪律和韧性，而不是突然觉醒隐藏神技。,低配天赋高执行力角色最让人服气，因为他不是靠天降转运，而是靠一遍遍把别人嫌笨的事做对。,这类角色很适合承担后勤、稳定输出、兜底执行和以普通人视角映照主角的功能。,低配天赋高执行力普通人,既然天赋不够，就只能把准备、纪律和耐力堆到别人追不上的程度,习惯提前预案、重复演练和死磕细节|不追求一步翻盘而追求稳定活到最后,前期容易被轻视|后期往往最值得托付关键执行环节|极适合做口碑型角色,普通人却次次硬打顶级对手|最后突然隐藏血统爆开|高执行力只停留在口头描述
